user_address,asset,side,position_size,entry_price,mark_price,absolute_pnl,pnl_percent,realized_pnl,unrealized_pnl,leverage_ratio,is_negative_equity,was_liquidated,was_adl,trades_count,had_pre_existing_position
0x009ae54bf26fccaa4c5a1443ebded3e472849371,SOL,SHORT,0.0,,169.36,34335.2421,,34335.2421,0.0,,,False,True,1,True
0x009c10887cf76c08d6592cd6c7736eecc9f5de56,BTC,LONG,0.0,,108340.0,-458.85952,,-458.85952,0.0,,,False,False,1,True
0x009df5fc1818b402d895645590eff75ca6eeefb7,BTC,SHORT,0.01306,,108340.0,67.4547,,67.4547,0.0,,,False,False,3,True
0x009e85e014e4456d455bef7c1eb89545f92010ed,BTC,LONG,0.0,,108340.0,-98.130942,,-98.130942,0.0,,,False,False,1,True
0x00a2d05849af8641e17e6377b968543d8f9fb994,BTC,LONG,0.07733000000000007,,108340.0,-9525.73029,,-9525.73029,0.0,,,False,False,11,True
0x00a2f81fb21250ca786f91e7ecb683301dd09d57,BTC,SHORT,0.0,,108340.0,202.74884,,202.74884,0.0,,,False,True,1,True
0x00a472f877448835cc278556e3a869205816679f,SOL,LONG,0.0,,169.36,-31.366572,,-31.366572,0.0,,,False,False,1,True
0x00a73324521030ea66dce68ff245d28b41561946,BTC,LONG,0.00018999999999999996,,108340.0,-3.65184,,-3.65184,0.0,,,False,False,1,True
0x00a73324521030ea66dce68ff245d28b41561946,SOL,LONG,31.310000000000002,,169.36,-46.872056,,-46.872056,0.0,,,False,False,3,True
0x00b0cf166099ced595a49c4cb65fac89837f1433,BTC,SHORT,0.0,,108340.0,262.47425200000004,,262.47425200000004,0.0,,,False,True,8,True
0x00b1052252fc3ef787aa679401a1f31ba20ef287,SOL,LONG,0.0,,169.36,-196.8619,,-196.8619,0.0,,,False,False,2,True
0x00b3bd040fce9e7c52c3828d6c741f40da46422a,BTC,SHORT,0.0,,108340.0,51.630377,,51.630377,0.0,,,False,True,1,True
0x00b600e6c5c3107abedb235499d924ff43a91426,SOL,LONG,11056.95,,169.36,-30573.771700000012,,-30573.771700000012,0.0,,,False,False,55,True
0x00b904179f57f92a5db3a8538e891d4ff19f286f,SOL,LONG,0.0,,169.36,-13.99,,-13.99,0.0,,,False,False,1,True
0x00bb7fd61276b62c8e005e31223b50a17d828bb4,BTC,LONG,0.0,,108340.0,-486.246219,,-486.246219,0.0,,,False,False,1,True
0x00d1bcbe64843d8968f66194c923583d5db3a908,BTC,SHORT,0.0,,108340.0,-16129.36477,,-16129.36477,0.0,,,True,True,34,True
0x00d1d51887bf9085a1c44fccf9e2606f7701c8ab,SOL,SHORT,0.0,,169.36,20.109514,,20.109514,0.0,,,False,True,1,True
0x00d4c6a4ae009d24f7a63f7150375d56f6947ca9,BTC,LONG,0.0,,108340.0,-24.5718,,-24.5718,0.0,,,False,False,1,True
0x00d748ba6795437c2317e37e0a96e94000b0ae57,BTC,SHORT,0.02244,108500.0,108340.0,3.5904000000000003,0.14768321949418498,0.0,3.5904000000000003,,,False,False,1,False
0x00d96316818064354e391deb57275b034c8af2f5,BTC,SHORT,0.00717,104065.0,108340.0,-23.08101,-2.971302184429461,7.57074,-30.65175,,,False,False,2,False
0x00dc56403915be0076213e3cefd95a20b713a68c,BTC,SHORT,0.0,,108340.0,2543.755998,,2543.755998,0.0,,,False,True,1,True
0x00dea250eb618aed23cff9f23f315e074957cb76,SOL,SHORT,0.0,,169.36,8.8064,,8.8064,0.0,,,False,True,1,True
0x00f2f89851ba29b3c4f83f19cffc02892838f9be,BTC,SHORT,3.2592900000000036,,108340.0,352500.0,,352500.0,0.0,,,False,False,36,True
0x00f4a6b69c25338fa4ef286365fb3f74fbffe990,BTC,LONG,0.0,,108340.0,-644.26074,,-644.26074,0.0,,,True,False,1,True
0x00f4a6b69c25338fa4ef286365fb3f74fbffe990,SOL,LONG,0.0,,169.36,-363.347902,,-363.347902,0.0,,,True,False,1,True
0x00f6570d8fa6924529555626b831794290d90aec,BTC,LONG,0.0,,108340.0,-3870.48,,-3870.48,0.0,,,False,False,4,True
0x00f668ce1044affbf9c966a7b8f6075ac52e6fda,SOL,SHORT,0.0,166.87618518518516,169.36,-11.47079,,-11.47079,0.0,,,True,True,8,False
0x00f7c604d992c8d55a0440b1b49990ef122bd5a3,BTC,LONG,0.0,,108340.0,-67.42081,,-67.42081,0.0,,,False,False,1,True
0x00fcc840078daa0792175f5f883698f2e6e60b92,BTC,SHORT,0.00111,,108340.0,-5.238270000000005,,-5.238270000000005,0.0,,,False,True,8,True
0x00ff917b7be8c7cfcaab8b2c48f868a5dc6abf7f,BTC,SHORT,0.0,,108340.0,32661.51605,,32661.51605,0.0,,,False,True,1,True
0x01022d60bf151ab1da219a6149990978dcfd85d2,BTC,LONG,0.32543,,108340.0,-5906.951795999999,,-5906.951795999999,0.0,,,False,False,13,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,BTC,LONG,0.9719599999999999,,108340.0,-5025.877768000003,,-5025.877768000003,0.0,,,False,False,339,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,SOL,LONG,969.7099999999998,,169.36,-45.094789999999996,,-45.094789999999996,0.0,,,False,False,219,True
0x01091e424b5dab79a0127b6cf211d9d57500b7f7,BTC,LONG,0.0,,108340.0,-1709.9564,,-1709.9564,0.0,,,False,False,2,True
0x01092b03857fe8c5543ec6240d4e0a6668d556a7,BTC,LONG,0.03551,,108340.0,-184.572344,,-184.572344,0.0,,,False,False,2,True
0x010ea2e1c787cb3672bf5a578037917a3c3b2d03,SOL,LONG,0.0,,169.36,-5583.111408,,-5583.111408,0.0,,,True,False,1,True
0x0110288c8fb4bcfa2b757400d558a85cb7732613,BTC,SHORT,0.0,,108340.0,-13.195008000000001,,-13.195008000000001,0.0,,,False,False,7,True
0x0110a0d60de87a003cd5e8bdc28fb205b7cd0fa8,SOL,SHORT,0.0,,169.36,3.574964,,3.574964,0.0,,,False,True,1,True
0x01274b0def8b96bc4c39a06531af3ce996612f73,BTC,LONG,0.0,,108340.0,-4.426807,,-4.426807,0.0,,,True,False,1,True
0x013fbeef25687e58fa25835129dc7e3f6b97fec5,SOL,SHORT,0.0,,169.36,36.043,,36.043,0.0,,,False,True,1,True
0x01403f7512b7763579b1b0c17d1d8d9ba13572e2,BTC,LONG,0.0,106100.54784265686,108340.0,169.62708999999998,,169.62708999999998,0.0,,,False,True,14,False
0x01489713a676911d5f8937e8cf822c2207990534,BTC,SHORT,0.0,,108340.0,598.09216,,598.09216,0.0,,,False,True,1,True
0x014d8766c977c48482c21d2ec65b251d30048a26,SOL,SHORT,0.0,,169.36,66.132,,66.132,0.0,,,False,True,1,True
0x01500d3c04484dd4c1ebf491cdaab11c7689eefd,BTC,SHORT,0.0,,108340.0,22.57904,,22.57904,0.0,,,False,True,1,True
0x0152d9d7a1617dfedc7384ecc07060b5cce21f60,BTC,LONG,0.0,,108340.0,-6019.629981,,-6019.629981,0.0,,,True,False,1,True
0x01535f0ffbf18d084366c4dc846e58bb915fdd09,BTC,LONG,1.7841399999999998,,108340.0,-3623.380042,,-3623.380042,0.0,,,False,False,108,True
0x01535f0ffbf18d084366c4dc846e58bb915fdd09,SOL,LONG,45.590000000000046,,169.36,-9279.759966999996,,-9279.759966999996,0.0,,,False,False,41,True
0x01568bce6de6dcaa155be3c72e345ed98dd4f9a4,SOL,SHORT,0.0,,169.36,27.841569,,27.841569,0.0,,,False,True,1,True
